names	fccommunity
U2SURP	1
UACA	16
UBA1	23
UBASH3A	25
UBE2A	20
UBE2B	20
UBE2J2	14
UBE2K	18
UBE2N	20
UBE2V2	20
UBE4B	14
UBQLN1	23
UCHL1	22
UCHL3	12
UGDH	16
UGP2	3
USP10	20
USP14	23
USP22	20
USP30	14
VAC14	14
VARS	23
VAV2	16
VAV3	16
VCP	14
VDAC1	22
VDAC2	12
VIM	24
VLDLR	13
VPS13A	23
VPS28	14
WBP2	6
WWP2	19
XIAP	19
XPC	20
XPO1	1
XRCC6	1
YBX1	6
YES1	15
YWHAE	1
YWHAG	22
YWHAQ	1
YWHAZ	22
ZBTB9	6
ZC3H15	2
ZFAND5	12
ZNF385A	12
ZNF827	12
ZRANB1	12
ENSG00000206212	16
ENSG00000215328	12
ENSG00000173534	16
ENSG00000182498	16
ENSG00000182754	3
ENSG00000013455	16
ENSG00000196501	20
ENSG00000182953	3
ENSG00000215769	1
ENSG00000212866	12
ENSG00000206380	12
ENSG00000206279	21
ENSG00000213555	16
ENSG00000188170	13
ENSG00000112727	16
ENSG00000206313	4
ENSG00000174766	3
ENSG00000197597	20
ENSG00000212695	3
ENSG00000130041	3
ENSG00000212664	3
ENSG00000171032	21
ENSG00000137379	14
ENSG00000215412	16
ENSG00000115254	23
ENSG00000125385	3
ENSG00000206271	12
ENSG00000146677	3
ENSG00000121031	15
ENSG00000206254	12
ENSG00000096155	4
ENSG00000196656	16
ENSG00000185637	14
ENSG00000138396	3
ENSG00000206206	21
ENSG00000096150	3
ENSG00000183311	14
ENSG00000215425	16
ENSG00000124642	20
ENSG00000170847	16
ENSG00000214225	4
ENSG00000175333	3
ENSG00000096171	23
ENSG00000176534	3
ENSG00000196681	3
ENSG00000198637	3
BRCA1	21
MYBL2	21
SYK	15
USP1	4
USP2	12
ANKRD20A11P	12
CDC42	22
CKS2	14
DCUN1D1	21
FHL1	18
GRAP	14
HAS1	14
HAS3	14
HDAC1	1
JMY	21
KIF23	12
KLHL8	18
KRAS	25
NEDD4L	25
NXF1	6
PEX14	12
POLR3G	20
POTEH	12
POTEI	12
POTEM	12
PRPF8	6
SIN3A	21
SPTLC1	1
STUB1	12
XRN1	1
ENSG00000108504	15
THUMPD1	18
6-Mar	4
C19orf10	4
CHN2	4
DNAJB11	12
FKBP2	23
PRPF40A	6
REG1B	4
RNF126	4
S100A4	4
SETDB1	24
TFDP1	21
TOMM20	24
UBL4A	4
UBL7	4
ENSG00000129951	4
8-Mar	4
ACBD3	4
ZSWIM5	4
C7	4
DPYD	23
GLI2	21
2-Sep	4
ARF6	4
C1QBP	1
CNP	22
EXOC7	4
FBL	6
GRM7	22
IKBKE	18
PAFAH1B1	4
PIH1D1	4
PIK3R1	25
PRMT1	18
SDC3	9
11-Sep	4
4-Sep	4
5-Sep	22
6-Sep	4
7-Sep	14
8-Sep	4
9-Sep	23
SIAH1	21
SNCA	22
SOCS7	25
STX1A	22
TUBG1	1
VHL	18
ENSG00000204523	18
ENSG00000189162	25
AAR2	6
ACLY	18
AP1B1	12
AP3D1	14
ARFIP2	4
ARHGAP35	21
ARRB1	22
ARRB2	22
BTF3	18
CACYBP	18
CLIC1	18
CS	14
CYTH2	22
DCTN1	4
DDX27	3
DHPS	4
DYNC1H1	1
EEF1E1	23
EIF4G1	3
EMC1	14
EXOC5	14
FANCI	4
GART	14
GBF1	14
GDI2	14
GSPT1	14
HDLBP	23
HEATR2	4
HINT1	14
HYOU1	18
KHSRP	6
KIF5B	25
MAD1L1	4
MAT2A	18
MCM3	20
MMP24-AS1	3
MSH2	1
NCAPG	4
PCBP3	4
PDIA3	4
PFDN2	20
PINK1-AS	14
PIP5K1A	25
PIP5K1C	25
PLS1	4
RABGAP1	13
RANBP3	13
RNASEH2A	20
RTCA	4
SEC11A	14
SEC13	6
SEC63	14
SRPRB	14
TBC1D4	11
