"names"	"fccommunity"
"451"	"NHP2"	"3"
"452"	"NHP2L1"	"6"
"453"	"NOL6"	"3"
"454"	"NOLC1"	"6"
"455"	"NOP56"	"1"
"456"	"NOP58"	"6"
"457"	"NPLOC4"	"14"
"458"	"NPM1"	"16"
"459"	"NSFL1C"	"20"
"460"	"NUB1"	"21"
"461"	"NUMA1"	"6"
"462"	"NVL"	"3"
"463"	"OAT"	"1"
"464"	"OLA1"	"23"
"465"	"ORC1"	"23"
"466"	"ORC5"	"20"
"467"	"OTUD7B"	"12"
"468"	"P4HB"	"6"
"469"	"PABPC1"	"11"
"470"	"PAK2"	"14"
"471"	"PARK2"	"22"
"472"	"PAWR"	"16"
"473"	"PC"	"23"
"474"	"PCMT1"	"16"
"475"	"PDLIM7"	"16"
"476"	"PEX19"	"12"
"477"	"PGAM2"	"23"
"478"	"PGD"	"23"
"479"	"PGK1"	"23"
"480"	"PHGDH"	"16"
"481"	"PKM"	"23"
"482"	"PKP2"	"12"
"483"	"PLEC"	"16"
"484"	"PLK1"	"1"
"485"	"PLS3"	"16"
"486"	"PM20D1"	"12"
"487"	"POLH"	"20"
"488"	"POLI"	"12"
"489"	"POLR1A"	"3"
"490"	"POLR1B"	"3"
"491"	"POLR1D"	"20"
"492"	"POLR2A"	"6"
"493"	"POLR2C"	"6"
"494"	"POLR2D"	"6"
"495"	"POLR2E"	"6"
"496"	"POLR2G"	"6"
"497"	"POLR2J"	"6"
"498"	"POLR2K"	"6"
"499"	"PPA1"	"23"
"500"	"PPIA"	"16"
"501"	"PPIF"	"23"
"502"	"PPP1CB"	"16"
"503"	"PPP1R9B"	"16"
"504"	"PPP2R1A"	"22"
"505"	"PPP3CA"	"16"
"506"	"PRDX1"	"16"
"507"	"PRDX2"	"22"
"508"	"PRKAA2"	"17"
"509"	"PRKAB2"	"15"
"510"	"PRKAR2A"	"22"
"511"	"PRKCB"	"15"
"512"	"PRODH"	"4"
"513"	"PSMA1"	"1"
"514"	"PSMA2"	"1"
"515"	"PSMA3"	"1"
"516"	"PSMA4"	"1"
"517"	"PSMA5"	"1"
"518"	"PSMA6"	"23"
"519"	"PSMA7"	"1"
"520"	"PSMB1"	"1"
"521"	"PSMB2"	"23"
"522"	"PSMB3"	"1"
"523"	"PSMB4"	"1"
"524"	"PSMB5"	"1"
"525"	"PSMB6"	"23"
"526"	"PSMB7"	"23"
"527"	"PSMC1"	"1"
"528"	"PSMC3"	"1"
"529"	"PSMC4"	"1"
"530"	"PSMC6"	"1"
"531"	"PSMD1"	"23"
"532"	"PSMD10"	"23"
"533"	"PSMD11"	"23"
"534"	"PSMD12"	"23"
"535"	"PSMD13"	"23"
"536"	"PSMD14"	"23"
"537"	"PSMD2"	"23"
"538"	"PSMD4"	"1"
"539"	"PSMD6"	"23"
"540"	"PSMD7"	"23"
"541"	"PSMD8"	"23"
"542"	"PSME2"	"23"
"543"	"PTK2"	"15"
"544"	"PTK2B"	"15"
"545"	"PTPN11"	"16"
"546"	"PTRH2"	"4"
"547"	"PWP1"	"3"
"548"	"PXN"	"12"
"549"	"RAB1A"	"14"
"550"	"RAD23B"	"23"
"551"	"RAI14"	"16"
"552"	"RAN"	"22"
"553"	"RAP1B"	"14"
"554"	"RAPGEF4"	"25"
"555"	"RBBP5"	"20"
"556"	"RBM10"	"4"
"557"	"RBM28"	"3"
"558"	"RBM34"	"3"
"559"	"RBM39"	"6"
"560"	"RBM5"	"6"
"561"	"RCC2"	"16"
"562"	"RCHY1"	"4"
"563"	"RDX"	"19"
"564"	"RECQL5"	"6"
"565"	"REL"	"12"
"566"	"RELA"	"12"
"567"	"RELB"	"12"
"568"	"RFC1"	"20"
"569"	"RHOA"	"22"
"570"	"RICTOR"	"25"
"571"	"RIPK3"	"16"
"572"	"RNF168"	"12"
"573"	"RNF5"	"12"
"574"	"RPF2"	"3"
"575"	"RPL10"	"3"
"576"	"RPL10A"	"3"
"577"	"RPL11"	"3"
"578"	"RPL12"	"3"
"579"	"RPL13"	"3"
"580"	"RPL13A"	"3"
"581"	"RPL13AP25"	"3"
"582"	"RPL14"	"3"
"583"	"RPL14P1"	"3"
"584"	"RPL15"	"3"
"585"	"RPL15P3"	"3"
"586"	"RPL18"	"16"
"587"	"RPL19"	"3"
"588"	"RPL21"	"16"
"589"	"RPL22"	"3"
"590"	"RPL23"	"16"
"591"	"RPL23A"	"16"
"592"	"RPL24"	"16"
"593"	"RPL26"	"3"
"594"	"RPL26L1"	"3"
"595"	"RPL27"	"3"
"596"	"RPL27A"	"16"
"597"	"RPL29"	"3"
"598"	"RPL3"	"3"
"599"	"RPL32"	"3"
"600"	"RPL35A"	"3"
"601"	"RPL36AL"	"3"
"602"	"RPL37"	"3"
"603"	"RPL39"	"3"
"604"	"RPL4"	"11"
"605"	"RPL5"	"3"
"606"	"RPL6"	"3"
"607"	"RPL7A"	"3"
"608"	"RPL8"	"3"
"609"	"RPL9"	"3"
"610"	"RPLP0"	"3"
"611"	"RPLP1"	"3"
"612"	"RPLP2"	"3"
"613"	"RPS12"	"3"
"614"	"RPS13"	"3"
"615"	"RPS14"	"3"
"616"	"RPS15"	"3"
"617"	"RPS15A"	"3"
"618"	"RPS16"	"3"
"619"	"RPS17"	"3"
"620"	"RPS19"	"3"
"621"	"RPS20"	"16"
"622"	"RPS21"	"3"
"623"	"RPS24"	"3"
"624"	"RPS25"	"16"
"625"	"RPS26"	"16"
"626"	"RPS26P6"	"3"
"627"	"RPS27"	"3"
"628"	"RPS29"	"3"
"629"	"RPS3A"	"3"
"630"	"RPS5"	"16"
"631"	"RPS6"	"3"
"632"	"RPS7"	"3"
"633"	"RPS7P1"	"3"
"634"	"RRM2"	"23"
"635"	"RUVBL1"	"2"
"636"	"RUVBL2"	"16"
"637"	"RYBP"	"21"
"638"	"S100A11"	"12"
"639"	"S100A6"	"16"
"640"	"S100A7"	"12"
"641"	"SAFB2"	"16"
"642"	"SAR1B"	"23"
"643"	"SARS"	"1"
"644"	"SEC23A"	"3"
"645"	"SEC24A"	"3"
"646"	"SERPINH1"	"16"
"647"	"SETX"	"13"
"648"	"SFN"	"25"
"649"	"SFPQ"	"6"
"650"	"SH3KBP1"	"25"
"651"	"SHC1"	"15"
"652"	"SHFM1"	"23"
"653"	"SHMT2"	"16"
"654"	"SKP1"	"1"
"655"	"SLC25A3"	"16"
"656"	"SLC25A4"	"16"
"657"	"SLC3A2"	"12"
"658"	"SLC40A1"	"12"
"659"	"SMAD2"	"21"
"660"	"SMAD4"	"21"
"661"	"SMAD7"	"21"
"662"	"SMARCA2"	"3"
"663"	"SMARCA4"	"20"
"664"	"SMC4"	"1"
"665"	"SMN1"	"6"
"666"	"SMPDL3B"	"18"
"667"	"SMURF1"	"21"
"668"	"SMURF2"	"21"
"669"	"SMYD5"	"20"
"670"	"SNCAIP"	"4"
"671"	"SNRPD1"	"6"
"672"	"SNRPD2"	"16"
"673"	"SNX4"	"12"
"674"	"SORBS2"	"22"
"675"	"SOS1"	"16"
"676"	"SPDYA"	"16"
"677"	"SPECC1"	"16"
"678"	"SPECC1L"	"16"
"679"	"SPTAN1"	"16"
"680"	"SPTBN1"	"16"
"681"	"SPTLC2"	"21"
"682"	"SQRDL"	"1"
"683"	"SQSTM1"	"1"
"684"	"SRP14"	"16"
"685"	"SRP9"	"16"
"686"	"SRP9P1"	"16"
"687"	"SRSF10"	"16"
"688"	"SRSF3"	"6"
"689"	"SSBP1"	"16"
"690"	"SSRP1"	"20"
"691"	"STAM"	"21"
"692"	"STAM2"	"4"
"693"	"SUPT3H"	"20"
"694"	"SV2B"	"14"
"695"	"SVIL"	"16"
"696"	"SYAP1"	"12"
"697"	"SYNPO"	"16"
"698"	"TAB2"	"12"
"699"	"TADA2A"	"20"
"700"	"TAF12"	"20"
"701"	"TAF5"	"20"
"702"	"TAF6"	"20"
"703"	"TAF9"	"20"
"704"	"TALDO1"	"23"
"705"	"TAOK2"	"16"
"706"	"TARDBP"	"6"
"707"	"TARS"	"23"
"708"	"TBC1D16"	"12"
"709"	"TBRG4"	"12"
"710"	"TCEB1"	"12"
"711"	"TCEB2"	"12"
"712"	"TEX261"	"3"
"713"	"TFAP2A"	"16"
"714"	"TFG"	"12"
"715"	"THEM6"	"12"
"716"	"THG1L"	"14"
"717"	"THRAP3"	"16"
"718"	"TKT"	"18"
"719"	"TMOD3"	"16"
"720"	"TMPO"	"1"
"721"	"TNFRSF1B"	"12"
"722"	"TNK2"	"15"
"723"	"TOM1"	"12"
"724"	"TP53"	"21"
"725"	"TPI1"	"22"
"726"	"TPM1"	"16"
"727"	"TPM2"	"16"
"728"	"TRAF1"	"19"
"729"	"TRAF2"	"19"
"730"	"TRAF3"	"19"
"731"	"TREX2"	"6"
"732"	"TRIP12"	"23"
"733"	"TRNAU1AP"	"21"
"734"	"TRRAP"	"1"
"735"	"TSG101"	"14"
"736"	"TTF2"	"12"
"737"	"TTLL3"	"16"
"738"	"TTN"	"15"
"739"	"TUBA1A"	"22"
"740"	"TUBA1B"	"15"
"741"	"TUBA4A"	"14"
"742"	"TUBB4A"	"14"
"743"	"TUBB4B"	"14"
"744"	"TUFM"	"16"
"745"	"TXN"	"12"
"746"	"U2SURP"	"1"
"747"	"UACA"	"16"
"748"	"UBA1"	"23"
"749"	"UBASH3A"	"25"
"750"	"UBE2A"	"20"
"751"	"UBE2B"	"20"
"752"	"UBE2J2"	"14"
"753"	"UBE2K"	"18"
"754"	"UBE2N"	"20"
"755"	"UBE2V2"	"20"
"756"	"UBE4B"	"14"
"757"	"UBQLN1"	"23"
"758"	"UCHL1"	"22"
"759"	"UCHL3"	"12"
"760"	"UGDH"	"16"
"761"	"UGP2"	"3"
"762"	"USP10"	"20"
"763"	"USP14"	"23"
"764"	"USP22"	"20"
"765"	"USP30"	"14"
"766"	"VAC14"	"14"
"767"	"VARS"	"23"
"768"	"VAV2"	"16"
"769"	"VAV3"	"16"
"770"	"VCP"	"14"
"771"	"VDAC1"	"22"
"772"	"VDAC2"	"12"
"773"	"VIM"	"24"
"774"	"VLDLR"	"13"
"775"	"VPS13A"	"23"
"776"	"VPS28"	"14"
"777"	"WBP2"	"6"
"778"	"WWP2"	"19"
"779"	"XIAP"	"19"
"780"	"XPC"	"20"
"781"	"XPO1"	"1"
"782"	"XRCC6"	"1"
"783"	"YBX1"	"6"
"784"	"YES1"	"15"
"785"	"YWHAE"	"1"
"786"	"YWHAG"	"22"
"787"	"YWHAQ"	"1"
"788"	"YWHAZ"	"22"
